Symbol,Date,Close,High,Low,Open,Volume
FB,2012-05-18,38.2318,45.0,38.0,42.0,580587742
FB,2012-05-21,34.03,36.66,33.0,36.66,168309831
FB,2012-05-22,31.0,33.59,30.94,32.59,102053826
FB,2012-05-23,32.0,32.5,31.36,31.38,73488656
FB,2012-05-24,33.03,33.21,31.77,32.98,50275879
FB,2012-05-25,31.91,32.95,31.11,32.91,37189630
FB,2012-05-28,31.91,31.91,31.91,31.91,0
FB,2012-05-29,28.84,31.69,28.65,31.48,78060799
FB,2012-05-30,28.19,29.55,27.86,28.7,57267867
FB,2012-05-31,29.6,29.67,26.83,28.54,111639200
FB,2012-06-01,27.72,29.15,27.39,28.93,41855500
FB,2012-06-04,26.9,27.65,26.44,27.2,35230290
FB,2012-06-05,25.869,27.76,25.75,26.7,42473262
FB,2012-06-06,26.81,27.17,25.52,26.07,61487019
FB,2012-06-07,26.31,27.35,26.15,27.0,26167757
FB,2012-06-08,27.1,27.76,26.44,26.58,38033420
FB,2012-06-11,27.005,28.07,26.835,27.16,28225887
FB,2012-06-12,27.4,27.77,26.96,27.48,15822414
FB,2012-06-13,27.27,28.1,27.1,27.66,17118672
FB,2012-06-14,28.29,28.32,27.38,27.69,16854124
FB,2012-06-15,30.014,30.1,28.35,28.5,43563739
FB,2012-06-18,31.41,32.08,29.41,29.96,42978209
FB,2012-06-19,31.911,32.18,30.7,31.5,30848913
FB,2012-06-20,31.6,31.9288,31.15,31.92,15558921
FB,2012-06-21,31.84,32.5,31.51,31.67,21875228
FB,2012-06-22,33.05,33.45,32.06,32.41,74833976
FB,2012-06-25,32.06,33.02,31.55,32.88,24352818
FB,2012-06-26,33.1,33.44,32.5,32.68,24858611
FB,2012-06-27,32.23,32.9,31.9,32.46,28599506
FB,2012-06-28,31.36,32.19,30.9,31.96,17713292
FB,2012-06-29,31.095,31.99,30.76,31.92,19526823
FB,2012-07-02,30.771,31.73,30.55,31.25,14131476
FB,2012-07-03,31.2,31.44,30.8,30.9,8765498
FB,2012-07-04,31.2,31.2,31.2,31.2,0
FB,2012-07-05,31.47,31.625,31.02,31.32,10036688
FB,2012-07-06,31.73,31.9,31.26,31.44,10949006
FB,2012-07-09,32.17,32.88,31.99,32.1,17785180
FB,2012-07-10,31.47,32.48,31.1599,32.43,14276996
FB,2012-07-11,30.97,31.56,30.55,31.48,13027752
FB,2012-07-12,30.81,31.4,30.6,30.7,11306636
FB,2012-07-13,30.72,31.07,30.56,31.02,8117345
FB,2012-07-16,28.245,30.5,28.21,30.5,24672074
FB,2012-07-17,28.09,28.59,27.15,28.48,30438551
FB,2012-07-18,29.11,29.29,28.15,28.4,16841779
FB,2012-07-19,29.0,29.5,28.63,29.4,13685031
FB,2012-07-20,28.76,29.47,28.72,29.0,11869046
FB,2012-07-23,28.75,29.0,28.01,28.12,12393864
FB,2012-07-24,28.45,29.45,28.1,28.82,11539799
FB,2012-07-25,29.34,29.49,28.08,28.39,17230154
FB,2012-07-26,26.845,28.23,26.73,27.77,64597378
FB,2012-07-27,23.705,24.54,22.28,23.21,123098340
FB,2012-07-30,23.15,24.04,23.03,24.0,29285895
FB,2012-07-31,21.71,23.37,21.61,23.33,56179322
FB,2012-08-01,20.88,21.58,20.84,21.5,44604365
FB,2012-08-02,20.04,20.84,19.82,20.82,56374436
FB,2012-08-03,21.09,22.16,19.9,20.38,80646975
FB,2012-08-06,21.92,22.15,21.3,21.39,27778038
FB,2012-08-07,20.72,22.45,20.5,22.2,36782827
FB,2012-08-08,20.72,21.15,20.22,20.75,29537376
FB,2012-08-09,21.01,21.17,20.61,20.75,15618515
FB,2012-08-10,21.807,21.82,21.13,21.41,25794673
FB,2012-08-13,21.6,22.45,21.4,22.15,24972973
FB,2012-08-14,20.38,21.6,20.25,21.41,39308634
FB,2012-08-15,21.2,21.41,20.4,20.59,47860767
FB,2012-08-16,19.87,20.48,19.69,20.44,157554938
FB,2012-08-17,19.05,20.08,19.0,20.0,129293342
FB,2012-08-20,20.011,20.13,18.75,19.05,101186524
FB,2012-08-21,19.159,19.98,19.09,19.58,70640462
FB,2012-08-22,19.439,19.53,18.96,19.36,49892130
FB,2012-08-23,19.44,19.73,19.36,19.5,32813310
FB,2012-08-24,19.409,19.68,19.25,19.52,29622155
FB,2012-08-27,19.15,19.53,19.1,19.5,20703907
FB,2012-08-28,19.34,19.38,18.95,19.1,25425786
FB,2012-08-29,19.1,19.38,19.07,19.32,16124625
FB,2012-08-30,19.0885,19.45,19.06,19.27,30647472
FB,2012-08-31,18.058,18.7,18.03,18.68,58764170
FB,2012-09-03,18.058,18.058,18.058,18.058,0
FB,2012-09-04,17.729,18.27,17.55,18.06,46622354
FB,2012-09-05,18.58,18.75,18.18,18.26,60781719
FB,2012-09-06,18.96,19.2617,18.72,18.75,46066347
FB,2012-09-07,18.98,19.42,18.78,19.06,36371696
FB,2012-09-10,18.81,19.2,18.55,19.06,24797642
FB,2012-09-11,19.43,19.581,18.85,18.92,50508126
FB,2012-09-12,20.931,21.16,20.28,20.75,121583996
FB,2012-09-13,20.713,21.48,20.61,20.96,65041523
FB,2012-09-14,22.0,22.08,20.9,21.11,72819643
FB,2012-09-17,21.52,22.75,21.5,22.7,50666447
FB,2012-09-18,21.87,21.98,21.37,21.63,36760449
FB,2012-09-19,23.29,23.37,21.77,22.0,78782783
FB,2012-09-20,22.59,23.24,22.54,23.04,57248663
FB,2012-09-21,22.86,23.24,22.6,23.0,51218097
FB,2012-09-24,20.79,21.98,20.3625,21.78,79105121
FB,2012-09-25,20.28,21.21,20.22,21.2,46291655
FB,2012-09-26,20.62,20.78,19.8,20.15,38271878
FB,2012-09-27,20.32,21.0,20.16,20.98,30215821
FB,2012-09-28,21.66,21.95,20.5,20.57,65485921
FB,2012-10-01,21.99,22.59,21.73,22.1,51262680
FB,2012-10-02,22.27,22.49,21.82,22.08,29341393
FB,2012-10-03,21.83,22.49,21.8,22.3,32000079
FB,2012-10-04,21.9475,22.4,21.41,22.32,46894595
FB,2012-10-05,20.91,21.63,20.88,21.5,40529223
FB,2012-10-08,20.4,20.75,20.155,20.4,32236628
FB,2012-10-09,20.227,20.55,19.97,20.4,27161736
FB,2012-10-10,19.64,19.94,19.45,19.93,39321758
FB,2012-10-11,19.75,19.96,19.61,19.9,21817227
FB,2012-10-12,19.5181,19.8,19.48,19.77,18809397
FB,2012-10-15,19.52,19.88,19.49,19.68,20189668
FB,2012-10-16,19.48,19.69,19.3,19.68,21834687
FB,2012-10-17,19.88,20.48,19.3718,19.5,44074433
FB,2012-10-18,18.975,19.79,18.89,19.7,52157366
FB,2012-10-19,19.0,19.06,18.8,19.0,34834947
FB,2012-10-22,19.321,19.43,19.05,19.25,32447004
FB,2012-10-23,19.5,19.8,19.1,19.25,78381102
FB,2012-10-24,23.2299,24.25,22.85,24.12,228949142
FB,2012-10-25,22.56,23.31,22.47,23.29,76141922
FB,2012-10-26,21.9425,22.88,21.88,22.38,73259521
FB,2012-10-29,21.9425,21.9425,21.9425,21.9425,0
FB,2012-10-30,21.9425,21.9425,21.9425,21.9425,0
FB,2012-10-31,21.11,21.5,20.73,20.79,99378184
FB,2012-11-01,21.21,21.44,21.01,21.08,37713887
FB,2012-11-02,21.18,21.69,21.07,21.25,38344332
FB,2012-11-05,21.25,21.48,20.92,21.08,31806692
FB,2012-11-06,21.1712,21.37,20.99,21.24,29062642
FB,2012-11-07,20.47,20.95,20.37,20.85,33396731
FB,2012-11-08,19.99,20.73,19.98,20.47,34254535
FB,2012-11-09,19.21,20.0,19.13,19.99,42295434
FB,2012-11-12,20.07,20.17,18.87,19.15,67349109
FB,2012-11-13,19.86,20.11,19.56,19.6,71775069
FB,2012-11-14,22.36,22.5,19.93,20.08,229750911
FB,2012-11-15,22.17,22.5,21.65,22.38,78857405
FB,2012-11-16,23.5607,23.93,22.18,22.23,107182168
FB,2012-11-19,22.92,24.12,22.82,23.95,85021259
FB,2012-11-20,23.1,23.9,22.7,22.75,46655291
